,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
45,GFCL,                                        440.00,                                        -6.20,                                        -1.39,                                        438.50,                                        449.90,                                        438.50,"                                        4,287.00",                                        446.20
46,GHL,                                        196.00,                                        -2.90,                                        -1.46,                                        202.00,                                        202.00,                                        192.00,"                                        11,344.00",                                        198.90
47,GIBF1,                                        8.40,                                        0.07,                                        0.84,                                        8.25,                                        8.40,                                        8.24,"                                        2,250.00",                                        8.33
48,GILB,"                                        1,150.00",                                        10.00,                                        0.88,"                                        1,137.00","                                        1,150.00","                                        1,137.00",                                        190.00,"                                        1,140.00"
49,GIMES1,                                        8.45,                                        -0.04,                                        -0.47,                                        8.44,                                        8.50,                                        8.44,"                                        51,889.00",                                        8.49
50,GLBSL,                                        781.00,                                        -10.00,                                        -1.26,                                        780.10,                                        790.00,                                        780.10,                                        97.00,                                        791.00
51,GLH,                                        241.00,                                        -3.00,                                        -1.23,                                        248.80,                                        258.70,                                        235.40,"                                        3,023.00",                                        244.00
52,GMFBS,                                        801.00,                                        15.00,                                        1.91,                                        801.00,                                        801.00,                                        801.00,                                        10.00,                                        786.00
53,GMFIL,                                        312.00,                                        -6.00,                                        -1.89,                                        313.50,                                        315.00,                                        312.00,"                                        5,250.00",                                        318.00
54,GRDBL,                                        228.00,                                        -3.60,                                        -1.55,                                        227.00,                                        230.90,                                        227.00,"                                        1,890.00",                                        231.60
55,GUFL,                                        524.00,                                        -5.90,                                        -1.11,                                        521.50,                                        537.90,                                        517.00,"                                        24,224.00",                                        529.90
56,GVL,                                        305.00,                                        12.90,                                        4.42,                                        290.30,                                        311.00,                                        290.30,"                                        33,382.00",                                        292.10
57,GWFD83,"                                        1,006.00",                                        1.00,                                        0.10,"                                        1,006.00","                                        1,006.00","                                        1,006.00",                                        25.00,"                                        1,005.00"
58,HBL,                                        329.70,                                        -8.80,                                        -2.60,                                        331.90,                                        331.90,                                        319.00,"                                        2,853.00",                                        338.50
59,HDHPC,                                        177.00,                                        -2.00,                                        -1.12,                                        182.00,                                        182.00,                                        176.00,"                                        53,776.00",                                        179.00
60,HDL,"                                        3,845.00",                                        28.00,                                        0.73,"                                        3,870.00","                                        3,870.00","                                        3,820.00","                                        9,878.00","                                        3,817.00"
61,HEI,                                        363.50,                                        -3.00,                                        -0.82,                                        360.20,                                        367.00,                                        360.10,"                                        10,910.00",                                        366.50
62,HEIP,                                        245.00,                                        -6.90,                                        -2.74,                                        250.00,                                        254.50,                                        245.00,"                                        14,332.00",                                        251.90
63,HHL,                                        215.20,                                        -4.80,                                        -2.18,                                        216.10,                                        218.90,                                        215.00,"                                        6,045.00",                                        220.00
64,HIDCL,                                        167.00,                                        -0.50,                                        -0.30,                                        167.50,                                        169.00,                                        166.20,"                                        24,352.00",                                        167.50
65,HIDCLP,                                        96.70,                                        -1.20,                                        -1.23,                                        98.00,                                        98.00,                                        96.70,"                                        6,240.00",                                        97.90
66,HPPL,                                        247.40,                                        -2.60,                                        -1.04,                                        245.00,                                        250.00,                                        245.00,"                                        7,062.00",                                        250.00
67,HURJA,                                        203.00,                                        -1.00,                                        -0.49,                                        203.00,                                        207.90,                                        202.00,                                        945.00,                                        204.00
68,ICFC,                                        424.00,                                        -6.00,                                        -1.40,                                        435.00,                                        435.00,                                        424.00,"                                        8,130.00",                                        430.00
69,ICFCD83,"                                        1,025.00",                                        5.00,                                        0.49,"                                        1,025.00","                                        1,025.00","                                        1,025.00",                                        125.00,"                                        1,020.00"
70,IGI,                                        363.00,                                        -2.00,                                        -0.55,                                        361.20,                                        364.00,                                        358.30,"                                        6,605.00",                                        365.00
71,ILBS,                                        897.00,                                        1.00,                                        0.11,                                        880.00,                                        897.00,                                        880.00,                                        189.00,                                        896.00
72,JALPA,"                                        3,410.00",                                        -5.00,                                        -0.15,"                                        3,380.00","                                        3,449.00","                                        3,380.00","                                        1,136.00","                                        3,415.00"
73,JBBL,                                        277.00,                                        -5.00,                                        -1.77,                                        278.10,                                        282.00,                                        277.00,"                                        20,065.00",                                        282.00
74,JBLB,"                                        2,772.00",                                        -13.00,                                        -0.47,"                                        2,757.00","                                        2,815.00","                                        2,757.00","                                        2,311.00","                                        2,785.00"
75,JFL,                                        377.00,                                        -1.00,                                        -0.26,                                        370.50,                                        381.90,                                        370.50,"                                        4,114.00",                                        378.00
76,JOSHI,                                        183.50,                                        -3.50,                                        -1.87,                                        190.00,                                        193.90,                                        180.00,"                                        21,469.00",                                        187.00
77,JSLBB,"                                        1,599.00",                                        -8.40,                                        -0.52,"                                        1,615.00","                                        1,615.00","                                        1,580.00",                                        289.00,"                                        1,607.40"
78,KBL,                                        184.00,                                        -0.70,                                        -0.38,                                        184.00,                                        187.00,                                        182.00,"                                        32,594.00",                                        184.70
79,KBLD86,                                        914.60,                                        0.00,                                        0.00,                                        914.60,                                        914.60,                                        914.60,                                        40.00,                                        914.60
80,KDBY,                                        8.58,                                        0.42,                                        5.15,                                        8.00,                                        8.62,                                        8.00,"                                        1,900.00",                                        8.16
81,KEF,                                        8.22,                                        0.15,                                        1.86,                                        8.02,                                        8.22,                                        8.02,"                                        5,225.00",                                        8.07
82,KKHC,                                        178.00,                                        -3.20,                                        -1.77,                                        184.00,                                        184.00,                                        178.00,"                                        3,418.00",                                        181.20
83,KLBS,                                        440.50,                                        25.30,                                        6.09,                                        423.50,                                        440.50,                                        423.50,                                        30.00,                                        415.20
84,KLBSL,                                        780.00,                                        -1.00,                                        -0.13,                                        770.00,                                        785.40,                                        770.00,                                        144.00,                                        781.00
85,KMCDB,                                        875.10,                                        -18.90,                                        -2.11,                                        880.10,                                        889.00,                                        870.00,                                        909.00,                                        894.00
86,KPCL,                                        318.00,                                        -1.00,                                        -0.31,                                        325.30,                                        325.30,                                        314.10,"                                        2,916.00",                                        319.00
87,KRBL,                                        248.50,                                        -6.50,                                        -2.55,                                        258.00,                                        258.00,                                        246.10,"                                        15,011.00",                                        255.00
88,KSBBL,                                        305.00,                                        -4.00,                                        -1.29,                                        308.00,                                        309.00,                                        305.00,"                                        13,320.00",                                        309.00
